name,vicinity,rue,lat,lon,ranking,rating,user_ratings_total,sum_ratings,score,rating_cat,user_ratings_total_cat,rating_cat_lbl,user_ratings_total_cat_lbl,types,restaurant,food,point_of_interest,establishment,bakery,cafe,store,meal_takeaway,bar,liquor_store,grocery_or_supermarket,night_club,meal_delivery,book_store,movie_theater,tourist_attraction,lodging,school,parking,travel_agency,real_estate_agency,general_contractor,supermarket,gas_station,car_wash,convenience_store
Café Oz Toulouse,"1 Rue Gabriel Péri, Toulouse",Rue Gabriel Péri,43.6056608,1.4496263,1716,3.6,308,1108,21.9187825794016,0,7,"(0.0, 3.6]","(283.0, 418.0]","['bar', 'night_club', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PIZZ-A-TOULOUSE,"6 Rue du Taur, Toulouse",Rue du Taur,43.6053292,1.4427681,1718,4.3,6,25,21.836050376649666,3,0,"(4.1, 4.3]","(0.0, 7.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eat Burger,"5 Boulevard de Larramet, Toulouse",Boulevard de Larramet,43.59206279999999,1.4171616,1719,4.3,6,25,21.836050376649666,3,0,"(4.1, 4.3]","(0.0, 7.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La pétanque des copains,"Esplanade Alain Savary, Toulouse",Alain Savary,43.5940222,1.4526784,1723,4.1,16,65,21.74689192888929,2,1,"(4.0, 4.1]","(7.0, 22.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Numéro C-Coffee Bar,"Place des Carmes, Toulouse",des Carmes,43.59737459999999,1.4442355,1725,3.8,83,315,21.73249675102908,1,3,"(3.6, 4.0]","(48.0, 86.0]","['cafe', 'bar', 'restaurant', 'food', 'point_of_interest', 'store', 'establishment']",1,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sushi Inassé,"40 Rue du Général Jean Compans, Toulouse",Rue du Général Jean Compans,43.6089772,1.4560107,1730,4.1,15,61,21.63197416212829,2,1,"(4.0, 4.1]","(7.0, 22.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delices Matabiau,"71 Rue de Bayard, Toulouse",Rue de Bayard,43.61128310000001,1.4518893,1731,3.6,252,907,21.60504194681356,0,6,"(0.0, 3.6]","(195.0, 283.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tiki Taka,"23 Avenue de Lombez, Toulouse",Avenue de Lombez,43.5958281,1.4212221,1733,4.5,2,9,21.604634980487916,5,0,"(4.4, 4.5]","(0.0, 7.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kafb Sarl,"46 Boulevard Lazare Carnot, Toulouse",Boulevard Lazare Carnot,43.6045938,1.4501676,1734,4.5,2,9,21.604634980487916,5,0,"(4.4, 4.5]","(0.0, 7.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
O'TACOS,"71 Rue Achille Viadieu, Toulouse",Rue Achille Viadieu,43.5884705,1.4439878,1738,3.4,893,3036,21.592894960221056,0,9,"(0.0, 3.6]","(667.0, inf]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pomme de Pain,"Espace Saint-Georges, 51 Bis Rue du Rempart Saint-Etienne, Toulouse",Saint-Georges 51 Bis Rue du Rempart Saint-Etienne,43.6032669,1.448692,1739,3.7,133,492,21.548251071578218,1,4,"(3.6, 4.0]","(86.0, 133.5]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zoom Burger,"54 Rue de Bayard, Toulouse",Rue de Bayard,43.6103142,1.4506069,1740,3.9,41,159,21.49985704120697,1,2,"(3.6, 4.0]","(22.0, 48.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Les Trois Continents Toulouse,"24 Rue Héliot, Toulouse",Rue Héliot,43.6083234,1.4501332,1741,3.6,231,831,21.46900312761172,0,6,"(0.0, 3.6]","(195.0, 283.0]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Asian Kanteen - Wok & Soup,"47bis Boulevard de Strasbourg, Toulouse",Boulevard de Strasbourg,43.608884,1.445077,1743,3.5,418,1463,21.424116986212624,0,7,"(0.0, 3.6]","(283.0, 418.0]","['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Speed Pizza,"6 Rue du Taur, Toulouse",Rue du Taur,43.605329,1.442768,1745,4.1,13,53,21.377167744458028,2,1,"(4.0, 4.1]","(7.0, 22.0]","['meal_delivery', 'meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
O'Briens Pub,"9 Place Arnaud Bernard, Toulouse",Place Arnaud Bernard,43.6112681,1.4386182,1747,3.8,62,235,21.25108842009336,1,3,"(3.6, 4.0]","(48.0, 86.0]","['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pizzeria Vecchio,"22 Allées Jean Jaurès, Toulouse",Allées Jean Jaurès,43.6057261,1.4495407,1749,3.4,632,2148,21.08243806616011,0,8,"(0.0, 3.6]","(418.0, 667.0]","['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vivre et Savourer,"54 B Rue d'Alsace Lorraine, Toulouse",B Rue d'Alsace Lorraine,43.60764069999999,1.4458823,1751,4.3,4,17,21.078857962710238,3,0,"(4.1, 4.3]","(0.0, 7.0]","['restaurant', 'food', 'point_of_interest', 'establishment']",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
